STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
IL,IL House 97,"24,394","24,203","21,578","23,782"
IL,IL House 98,"27,291","17,342","25,228","16,571"
IL,IL House 99,"24,266","30,776","23,545","32,218"
IL,IL House 100,"12,548","33,902","17,511","28,400"
IL,IL House 101,"16,050","36,520","18,405","34,860"
IL,IL House 102,"13,581","34,214","16,126","31,329"
IL,IL House 103,"31,319","9,155","23,805","9,947"
IL,IL House 104,"18,861","23,157","20,017","22,662"
IL,IL House 105,"23,570","24,571","19,485","26,785"
IL,IL House 106,"10,620","33,162","13,309","31,317"
IL,IL House 107,"11,093","35,320","15,675","29,539"
IL,IL House 108,"14,984","37,806","18,012","33,382"
IL,IL House 109,"8,818","40,535","13,327","34,622"
IL,IL House 110,"12,927","31,368","17,444","27,822"
IL,IL House 111,"18,728","26,566","23,907","21,496"
IL,IL House 112,"23,864","26,823","24,552","24,506"
IL,IL House 113,"24,787","18,926","26,775","18,316"
IL,IL House 114,"27,036","18,001","31,516","16,945"
IL,IL House 115,"16,202","29,912","20,423","25,535"
IL,IL House 116,"14,858","33,472","20,206","27,872"
IL,IL House 117,"13,600","35,712","18,325","28,992"
IL,IL House 118,"13,342","31,705","18,769","27,328"
