STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Clayton 2012 Senate D,Corker 2012 Senate R
TN,TN House 87,"17,964","2,317","21,380","3,125","17,197","4,497"
TN,TN House 88,"15,771","4,587","18,067","5,504","14,439","6,670"
TN,TN House 89,"8,687","18,325","7,636","18,155","5,189","18,686"
TN,TN House 90,"17,364","2,784","20,623","3,939","14,966","5,894"
TN,TN House 91,"17,052","2,111","21,171","2,264","16,263","3,743"
TN,TN House 92,"5,566","17,304","7,371","14,972","5,794","14,707"
TN,TN House 93,"14,501","3,861","18,329","4,796","13,743","6,288"
TN,TN House 94,"8,055","21,759","9,762","20,615","7,141","20,526"
TN,TN House 95,"9,887","23,523","8,094","26,269","5,814","26,966"
TN,TN House 96,"14,786","13,434","13,046","16,505","10,366","17,502"
TN,TN House 97,"10,782","14,040","10,252","16,734","7,876","17,552"
TN,TN House 98,"13,680","2,957","16,607","3,606","13,226","4,629"
TN,TN House 99,"8,919","20,418","8,598","21,248","6,672","21,612"
