STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Sadler 2012 Senate D,Cruz 2012 Senate R
TX,TX House 59,"10,051","40,562","10,356","37,488","10,613","35,673"
TX,TX House 60,"9,521","60,148","10,327","54,641","11,081","51,823"
TX,TX House 61,"11,756","67,143","11,074","56,450","11,591","54,602"
TX,TX House 62,"12,833","46,709","13,610","40,621","14,043","38,132"
TX,TX House 63,"24,600","53,127","18,471","50,485","17,639","49,341"
TX,TX House 64,"27,772","37,836","21,567","34,833","20,427","33,907"
TX,TX House 65,"28,774","30,078","22,334","31,456","21,292","31,007"
TX,TX House 66,"33,412","35,728","24,895","40,639","23,852","38,868"
TX,TX House 67,"33,461","37,741","24,866","40,763","23,873","39,040"
TX,TX House 68,"8,634","50,573","10,249","46,777","11,188","43,303"
TX,TX House 69,"10,251","38,522","12,529","40,483","12,940","37,549"
TX,TX House 70,"28,184","53,914","19,509","46,266","18,446","44,593"
TX,TX House 71,"12,050","41,621","12,192","40,448","11,987","39,152"
TX,TX House 72,"12,045","42,002","12,641","40,775","12,386","39,135"
TX,TX House 73,"20,169","71,282","16,548","64,132","16,151","61,601"
TX,TX House 74,"25,707","18,080","22,983","16,763","19,240","16,842"
TX,TX House 75,"29,730","8,622","18,719","6,888","16,757","7,432"
TX,TX House 76,"30,768","7,053","25,729","7,313","23,325","8,371"
TX,TX House 77,"26,952","10,175","21,872","11,705","19,865","11,985"
TX,TX House 78,"30,155","17,884","23,432","19,013","21,056","19,172"
TX,TX House 79,"30,238","11,778","23,200","12,231","21,043","12,916"
TX,TX House 80,"26,127","12,978","24,340","11,024","20,570","12,115"
TX,TX House 81,"12,288","32,897","10,152","31,326","9,715","30,657"
TX,TX House 82,"11,711","43,120","10,161","41,586","9,528","40,829"
TX,TX House 83,"12,941","49,632","12,699","46,273","12,108","44,939"
TX,TX House 84,"17,953","30,451","17,080","30,925","15,621","30,694"
TX,TX House 85,"24,582","33,560","19,083","30,655","18,718","29,867"
TX,TX House 86,"10,510","52,129","9,850","50,246","9,368","49,447"
TX,TX House 87,"9,954","34,076","9,548","33,049","9,105","32,201"
TX,TX House 88,"7,967","38,968","9,150","38,358","8,968","36,961"
TX,TX House 89,"28,072","45,934","21,405","44,896","20,308","43,266"
TX,TX House 90,"20,133","5,769","17,979","6,149","16,923","6,458"
TX,TX House 91,"19,269","37,820","16,780","37,419","16,298","36,441"
TX,TX House 92,"26,118","35,220","22,132","36,322","21,291","35,522"
TX,TX House 93,"24,982","33,913","19,802","31,162","18,799","30,668"
TX,TX House 94,"27,144","36,069","24,906","39,413","23,932","38,669"
TX,TX House 95,"35,042","10,802","37,787","11,415","36,784","11,480"
TX,TX House 96,"29,306","37,011","24,838","36,190","24,158","35,574"
TX,TX House 97,"29,525","36,339","25,869","39,603","25,214","38,721"
TX,TX House 98,"25,246","57,917","18,355","58,406","17,802","56,907"
TX,TX House 99,"20,709","40,853","17,192","37,899","16,662","36,831"
TX,TX House 100,"33,648","8,406","34,185","9,246","32,625","9,488"
TX,TX House 101,"30,918","14,208","27,431","14,942","26,051","15,115"
TX,TX House 102,"30,291","24,768","24,958","29,198","24,299","28,071"
TX,TX House 103,"28,689","8,710","21,364","8,798","19,858","9,121"
TX,TX House 104,"25,168","6,941","21,287","7,718","19,597","8,411"
TX,TX House 105,"25,087","20,979","20,710","23,228","19,628","22,881"
TX,TX House 106,"29,744","49,562","18,606","40,805","17,956","39,953"
TX,TX House 107,"29,159","24,162","24,593","27,185","23,906","26,317"
TX,TX House 108,"39,584","34,622","27,031","40,564","26,312","39,004"
TX,TX House 109,"53,220","10,714","53,774","11,628","51,963","11,994"
TX,TX House 110,"30,884","4,005","33,840","4,106","32,419","4,583"
TX,TX House 111,"44,927","11,710","46,082","13,159","44,537","13,477"
TX,TX House 112,"26,735","26,081","22,308","28,221","21,282","27,648"
TX,TX House 113,"27,532","26,468","23,893","27,098","22,869","26,624"
TX,TX House 114,"35,259","29,221","28,182","35,795","27,927","34,261"
TX,TX House 115,"30,897","26,158","23,364","29,869","22,176","29,383"
TX,TX House 116,"32,016","15,622","26,019","16,250","25,120","15,892"
TX,TX House 117,"31,026","24,559","22,234","20,036","21,339","19,619"
TX,TX House 118,"26,456","19,234","22,719","17,824","22,210","17,207"
TX,TX House 119,"28,549","17,130","25,066","16,050","24,393","15,674"
TX,TX House 120,"31,100","15,719","30,194","15,906","29,265","15,633"
TX,TX House 121,"33,955","40,423","27,422","44,391","26,723","42,983"
TX,TX House 122,"36,825","56,451","26,253","57,721","25,507","56,546"
TX,TX House 123,"34,146","15,898","28,874","17,320","28,022","16,930"
TX,TX House 124,"32,752","17,403","27,701","17,115","26,600","16,938"
TX,TX House 125,"32,726","17,895","28,374","19,004","27,450","18,739"
TX,TX House 126,"26,483","32,607","21,191","35,828","20,188","35,660"
TX,TX House 127,"25,753","45,174","19,723","46,115","19,060","45,640"
TX,TX House 128,"17,165","40,656","14,906","40,562","14,733","39,712"
TX,TX House 129,"27,961","38,625","21,993","41,851","21,305","41,152"
TX,TX House 130,"22,668","55,187","15,928","53,020","15,435","52,302"
TX,TX House 131,"39,262","6,219","36,581","6,861","35,339","7,154"
TX,TX House 132,"31,489","34,495","21,214","31,432","20,227","31,396"
TX,TX House 133,"31,341","41,556","22,475","50,358","21,768","49,597"
TX,TX House 134,"50,043","35,983","34,731","46,926","33,936","45,444"
TX,TX House 135,"28,233","29,486","21,732","32,078","20,816","31,885"
TX,TX House 136,"37,324","35,348","26,423","35,296","25,281","33,617"
TX,TX House 137,"18,410","7,947","16,225","8,757","15,245","8,783"
TX,TX House 138,"24,706","24,670","18,256","27,489","17,330","27,450"
TX,TX House 139,"40,132","10,865","38,945","12,158","37,725","12,401"
TX,TX House 140,"21,009","6,119","16,576","6,852","15,692","7,163"
TX,TX House 141,"32,817","4,849","33,509","4,628","32,551","4,959"
TX,TX House 142,"34,530","9,502","32,437","9,208","31,419","9,381"
TX,TX House 143,"23,873","8,746","20,629","9,784","19,628","9,929"
TX,TX House 144,"15,885","10,555","12,308","11,606","11,789","11,555"
TX,TX House 145,"23,534","10,102","17,959","11,408","16,716","11,708"
TX,TX House 146,"38,986","8,500","39,909","10,153","38,544","10,295"
TX,TX House 147,"46,448","9,866","42,873","11,148","41,174","11,370"
TX,TX House 148,"31,004","14,815","22,449","16,296","21,256","16,353"
TX,TX House 149,"28,241","14,285","24,775","16,915","23,437","16,832"
TX,TX House 150,"27,941","45,146","19,720","44,640","19,042","44,207"
